image_id,bbox,folder
GOPR0024.JPG,"[2051, 1060, 874, 681]",train
GOPR0024.JPG,"[1527, 768, 701, 452]",train
GOPR0024.JPG,"[1206, 584, 504, 292]",train
GOPR0024.JPG,"[1645, 1761, 1118, 1035]",train
GOPR0024.JPG,"[1120, 1249, 829, 786]",train
GOPR0024.JPG,"[658, 733, 380, 343]",train
GOPR0024.JPG,"[576, 632, 256, 209]",train
GOPR0024.JPG,"[771, 374, 217, 107]",train
GOPR0024.JPG,"[705, 339, 166, 79]",train
GOPR0024.JPG,"[647, 313, 153, 67]",train
GOPR0024.JPG,"[403, 399, 135, 103]",train
GOPR0025.JPG,"[580, 1270, 752, 591]",train
GOPR0025.JPG,"[1158, 1551, 1219, 855]",train
GOPR0025.JPG,"[2232, 2009, 1222, 774]",train
GOPR0025.JPG,"[1648, 912, 961, 481]",train
GOPR0025.JPG,"[2522, 1167, 900, 578]",train
GOPR0025.JPG,"[3409, 1470, 591, 526]",train
GOPR0025.JPG,"[792, 262, 367, 225]",train
GOPR0025.JPG,"[1085, 127, 284, 147]",train
GOPR0025.JPG,"[1088, 249, 430, 238]",train
GOPR0025.JPG,"[178, 658, 178, 104]",train
GOPR0025.JPG,"[108, 648, 145, 83]",train
GOPR0025.JPG,"[56, 644, 113, 66]",train
GOPR0027.JPG,"[1924, 2034, 1266, 961]",train
GOPR0027.JPG,"[2482, 1311, 904, 825]",train
GOPR0027.JPG,"[1920, 919, 773, 558]",train
GOPR0027.JPG,"[470, 1835, 697, 595]",train
GOPR0027.JPG,"[17, 1291, 308, 630]",train
GOPR0027.JPG,"[247, 1163, 314, 596]",train
GOPR0027.JPG,"[1351, 547, 392, 212]",train
GOPR0027.JPG,"[1200, 463, 287, 143]",train
GOPR0027.JPG,"[1101, 399, 239, 110]",train
GOPR0027.JPG,"[852, 611, 243, 211]",train
GOPR0027.JPG,"[805, 529, 184, 146]",train
GOPR0027.JPG,"[772, 462, 156, 123]",train
GOPR0027.JPG,"[225, 649, 189, 74]",train
GOPR0027.JPG,"[117, 716, 179, 82]",train
GOPR0029.JPG,"[1168, 1173, 960, 886]",test
GOPR0029.JPG,"[865, 865, 561, 524]",test
GOPR0029.JPG,"[670, 663, 421, 368]",test
GOPR0029.JPG,"[570, 542, 273, 243]",test
GOPR0029.JPG,"[877, 348, 292, 143]",test
GOPR0029.JPG,"[773, 311, 227, 113]",test
GOPR0029.JPG,"[644, 263, 156, 83]",test
GOPR0029.JPG,"[599, 246, 128, 74]",test
GOPR0029.JPG,"[531, 225, 143, 76]",test
GOPR0029.JPG,"[2827, 2517, 999, 483]",test
GOPR0031.JPG,"[3148, 1737, 727, 723]",train
GOPR0031.JPG,"[2346, 1266, 896, 697]",train
GOPR0031.JPG,"[866, 1198, 817, 765]",train
GOPR0031.JPG,"[1649, 912, 851, 535]",train
GOPR0031.JPG,"[1212, 702, 618, 338]",train
GOPR0031.JPG,"[935, 580, 414, 223]",train
GOPR0031.JPG,"[451, 770, 317, 293]",train
GOPR0031.JPG,"[301, 599, 175, 155]",train
GOPR0031.JPG,"[264, 552, 135, 112]",train
GOPR0031.JPG,"[391, 352, 115, 57]",train
GOPR0031.JPG,"[357, 341, 98, 48]",train
GOPR0031.JPG,"[231, 508, 116, 100]",train
GOPR0031.JPG,"[207, 477, 101, 80]",train
GOPR0037.JPG,"[3028, 2031, 448, 969]",train
GOPR0037.JPG,"[3370, 2294, 419, 697]",train
GOPR0037.JPG,"[2519, 1616, 569, 1384]",train
GOPR0037.JPG,"[1992, 1130, 565, 1556]",train
GOPR0037.JPG,"[1525, 874, 478, 1330]",train
GOPR0037.JPG,"[1182, 695, 456, 1008]",train
GOPR0037.JPG,"[958, 570, 429, 747]",train
GOPR0037.JPG,"[804, 481, 385, 547]",train
GOPR0037.JPG,"[688, 413, 371, 408]",train
GOPR0037.JPG,"[616, 363, 325, 318]",train
GOPR0037.JPG,"[3019, 886, 620, 586]",train
GOPR0038.JPG,"[2213, 761, 546, 554]",test
GOPR0038.JPG,"[1946, 632, 558, 457]",test
GOPR0038.JPG,"[1725, 546, 513, 374]",test
GOPR0038.JPG,"[1521, 478, 499, 306]",test
GOPR0038.JPG,"[1361, 421, 482, 257]",test
GOPR0038.JPG,"[1262, 385, 435, 206]",test
GOPR0038.JPG,"[675, 1082, 693, 801]",test
GOPR0038.JPG,"[560, 820, 414, 428]",test
GOPR0042.JPG,"[723, 2038, 1212, 962]",train
GOPR0042.JPG,"[2436, 1078, 739, 666]",train
GOPR0042.JPG,"[67, 1533, 433, 599]",train
